three_letter_code,spv,project,wf_name_in_rotorsoft,wtg_serial_number,num_wtg,cod,wtg_type,wtg_version,manufacturer,hub_height_[m],rotor_diameter_[m],tip_height_m_,rated_power_[mw]
EPC,Energie 21 Poitou-Charentes,Mlhcp,wpd II Poitou Charentes (FRA),1011010,WTG 07,2015-12-01,E101,,Enercon,100.0,101,150.5,3.05
EPC,Energie 21 Poitou-Charentes,Mlhcp,wpd II Poitou Charentes (FRA),1011009,WTG 06,2015-12-01,E101,,Enercon,100.0,101,150.5,3.05
EPC,Energie 21 Poitou-Charentes,Mlhcp,wpd II Poitou Charentes (FRA),1011008,WTG 05,2015-12-01,E101,,Enercon,100.0,101,150.5,3.05
EPC,Energie 21 Poitou-Charentes,Mlhcp,wpd II Poitou Charentes (FRA),1011007,WTG 04,2015-12-01,E101,,Enercon,100.0,101,150.5,3.05
EPC,Energie 21 Poitou-Charentes,Mlhcp,wpd II Poitou Charentes (FRA),1011006,WTG 03,2015-12-01,E101,,Enercon,100.0,101,150.5,3.05
EPC,Energie 21 Poitou-Charentes,Mlhcp,wpd II Poitou Charentes (FRA),1011005,WTG 02,2015-12-01,E101,,Enercon,100.0,101,150.5,3.05
EPC,Energie 21 Poitou-Charentes,Mlhcp,wpd II Poitou Charentes (FRA),1011004,WTG 01,2015-12-01,E101,,Enercon,100.0,101,150.5,3.05
EPO,Energie Des Poiriers Sas,Les Marnières,Énergie des Poiriers (FRA),248815,,,V110,,Vestas,80.0,110,135.0,2.2
EPO,Energie Des Poiriers Sas,Les Marnières,Énergie des Poiriers (FRA),248816,,,V110,,Vestas,80.0,110,135.0,2.2
EPO,Energie Des Poiriers Sas,Les Marnières,Énergie des Poiriers (FRA),248817,,,V110,,Vestas,80.0,110,135.0,2.2
ESA,Energie Saulzoir Sas,Saulzoir,Énergie Saulzoir (FRA),247470,,,V136,,Vestas,112.0,136,180.0,3.0
ESA,Energie Saulzoir Sas,Saulzoir,Énergie Saulzoir (FRA),247471,,,V136,,Vestas,112.0,136,180.0,3.0
ESA,Energie Saulzoir Sas,Saulzoir,Énergie Saulzoir (FRA),247472,,,V136,,Vestas,112.0,136,180.0,3.0
ESA,Energie Saulzoir Sas,Saulzoir,Énergie Saulzoir (FRA),247473,,,V136,,Vestas,112.0,136,180.0,3.0
ESA,Energie Saulzoir Sas,Saulzoir,Énergie Saulzoir (FRA),247474,,,V136,,Vestas,112.0,136,180.0,3.0
ETI,Energie Tigne,Tigné,Énergie Tigné (FRA),826828,WTG 04,2017-12-14,E82,,Enercon,78.0,82,119.0,2.0
ETI,Energie Tigne,Tigné,Énergie Tigné (FRA),826827,WTG 03,2017-12-14,E82,,Enercon,78.0,82,119.0,2.0
ETI,Energie Tigne,Tigné,Énergie Tigné (FRA),826826,WTG 02,2017-12-14,E82,,Enercon,78.0,82,119.0,2.0
ETI,Energie Tigne,Tigné,Énergie Tigné (FRA),826825,WTG 01,2017-12-14,E82,,Enercon,78.0,82,119.0,2.0
EVE,Energie Vendee,Auzay,Énergie Vendée (FRA),1380443,WTG 1,2021-07-26,E138,,Enercon,110.0,138,179.0,3.96
EVE,Energie Vendee,Auzay,Énergie Vendée (FRA),1380444,WTG 2,2021-07-26,E138,,Enercon,110.0,138,179.0,3.96
EVE,Energie Vendee,Auzay,Énergie Vendée (FRA),1380445,WTG 3,2021-06-23,E138,,Enercon,110.0,138,179.0,3.96
EVE,Energie Vendee,Auzay,Énergie Vendée (FRA),1380446,WTG 4,2021-07-26,E138,,Enercon,110.0,138,179.0,3.96
EVE,Energie Vendee,Auzay,Énergie Vendée (FRA),1380447,WTG 5,2021-07-26,E138,,Enercon,110.0,138,179.0,3.96
EVE,Energie Vendee,Auzay,Énergie Vendée (FRA),1380448,WTG 6,2021-06-23,E138,,Enercon,110.0,138,179.0,3.96
EVE,Energie Vendee,Auzay,Énergie Vendée (FRA),1380449,WTG 7,2021-07-26,E138,,Enercon,110.0,138,179.0,3.96
EVE,Energie Vendee,Auzay,Énergie Vendée (FRA),1380450,WTG 8,2021-07-26,E138,,Enercon,110.0,138,179.0,3.96
EVE,Energie Vendee,Auzay,Énergie Vendée (FRA),1380451,WTG 9,2021-06-23,E138,,Enercon,110.0,138,179.0,3.96
FOI,Energies Des Forieres,Forières,Énergies des Forières (FRA),821369,,,E82,,Enercon,79.0,82,120.0,2.0
FOI,Energies Des Forieres,Forières,Énergies des Forières (FRA),821370,,,E82,,Enercon,79.0,82,120.0,2.0
FOI,Energies Des Forieres,Forières,Énergies des Forières (FRA),821371,,,E82,,Enercon,79.0,82,120.0,2.0
FOI,Energies Des Forieres,Forières,Énergies des Forières (FRA),821372,,,E82,,Enercon,79.0,82,120.0,2.0
FRG,Eoliennes De Freligne,Fréligné ,Éoliennes de Freligné (FRA),93120,,,MM92,,Senvion,100.0,92,146.0,2.05
FRG,Eoliennes De Freligne,Fréligné ,Éoliennes de Freligné (FRA),93119,,,MM92,,Senvion,100.0,92,146.0,2.05
FRG,Eoliennes De Freligne,Fréligné ,Éoliennes de Freligné (FRA),93118,,,MM92,,Senvion,100.0,92,146.0,2.05
FRG,Eoliennes De Freligne,Fréligné ,Éoliennes de Freligné (FRA),93117,,,MM92,,Senvion,100.0,92,146.0,2.05
HAT,Energies Des Hauts Traits,Hauts Traits,Énergies des Hauts Traits (FRA),80437,,,N90,,Nordex,80.0,90,125.0,2.5
HAT,Energies Des Hauts Traits,Hauts Traits,Énergies des Hauts Traits (FRA),80434,,,N90,,Nordex,80.0,90,125.0,2.5
HAT,Energies Des Hauts Traits,Hauts Traits,Énergies des Hauts Traits (FRA),80435,,,N90,,Nordex,80.0,90,125.0,2.5
HAT,Energies Des Hauts Traits,Hauts Traits,Énergies des Hauts Traits (FRA),80436,,,N90,,Nordex,80.0,90,125.0,2.5
LAN,Eoliennes Suroit Snc,Lanrivoaré,Lanrivoaré (FRA),1673,WTG 02,2013-09-16,N60,,Nordex,69.0,60,99.0,1.3
LAN,Eoliennes Suroit Snc,Lanrivoaré,Lanrivoaré (FRA),1672,WTG 01,2013-09-16,N60,,Nordex,69.0,60,99.0,1.3
LCH,Energies Des Longs Champs,Longs-Champs,Énergies des Longs Champs (FRA),826659,,,E82,,Enercon,69.0,82,110.0,2.35
LCH,Energies Des Longs Champs,Longs-Champs,Énergies des Longs Champs (FRA),826660,,,E82,,Enercon,69.0,82,110.0,2.35
LCH,Energies Des Longs Champs,Longs-Champs,Énergies des Longs Champs (FRA),826661,,,E82,,Enercon,69.0,82,110.0,2.35
LCH,Energies Des Longs Champs,Longs-Champs,Énergies des Longs Champs (FRA),826662,,,E82,,Enercon,69.0,82,110.0,2.35
LCH,Energies Des Longs Champs,Longs-Champs,Énergies des Longs Champs (FRA),826663,,,E82,,Enercon,69.0,82,110.0,2.35
MLG,Eoliennes Suroit Snc,Méligny-Le-Grand,Méligny le Grand (FRA),80384,WTG 03,2013-07-31,MM82,,Senvion,80.0,82,121.0,2.05
MLG,Eoliennes Suroit Snc,Méligny-Le-Grand,Méligny le Grand (FRA),80383,WTG 02,2013-07-31,MM82,,Senvion,80.0,82,121.0,2.05
MLG,Eoliennes Suroit Snc,Méligny-Le-Grand,Méligny le Grand (FRA),80382,WTG 04,2013-07-31,MM82,,Senvion,80.0,82,121.0,2.05
