customer,nom_des_parcs_eoliens,spv,project,three_letter_code,nom_du_pdl,grid_operator,pdl_service_company,coordonnees_gps,communes_departements_
Wpd,Peyrusse,Energie 21 Auvergne,Peyrusse (Wpd Energie 21 Auvergne ),EAV,Peyrusse Pdl 2,,,,(Cantal)
Wpd,PPK PDL 1,Energie Des Noyers Sas,Petit Doré Ppk,EDN,Ppk Pdl 1,Enedis,Ineo,https://goo.gl/maps/NfRoQUuh4R4rFruq9,
Wpd,PPK PDL4,Energie Des Noyers Sas,Petit Doré Ppk,EDN,Ppk Pdl4,Enedis,Ineo,https://maps.app.goo.gl/SBj1SDQFresDn4rx7,
Wpd,Saint Laurs,Energie Deux Sèvres Sas,Saint Laurs (Energie Deux Sèvres),EDS,Saint Laurs Pdl,Geredis ,Ineo,https://maps.app.goo.gl/gMa6rUzyGB9wRNv5A,Saint Laurs
Wpd,Saulzoir,Energie Saulzoir Sas,Saulzoir,ESA,Pe Des Saules,Enedis,Ineo,https://maps.app.goo.gl/EzmV8TJxnbTSq4Xv9,
Wpd,WPD II Poitou Charentes (Clussais),Wpd Ii Poitou Charentes,Clussais La Pommeraie,WPC,Hta Prod Les Chebreaux,Geredis ,Ineo,https://goo.gl/maps/xsUNRwa23js,Clussais la Pommeraie (Deux Sèvres)
Wpd Invest,Bouresse Energies,Bouresse Energies,Bouresse ,BRS,P0045,Srd,Ineo,https://goo.gl/maps/M17dfe1orsAhq9mn9,Bouresse (Vienne)
Wpd Invest,Chauvé Energies,Chauve Energies,Chauvé ,CEN,Eolien Chauve,Enedis,Ineo,https://goo.gl/maps/yrZVcanc25nUkXah7,Chauvé (Loire Atlantique)
Wpd Invest,Energies Bocage,Energies Bocage,Bocage,BOG,Eol St Christophe,Enedis,Ineo,https://goo.gl/maps/fFKcMYAxEdLCbgMSA,Saint-Christophe-du-Bois (Maine-et-Loire)
Wpd Invest,Energies des Forières,Energies Des Forieres,Forières,FOI,Eole Forières 1,Enedis,Enercon,https://goo.gl/maps/59znjyWFAGC8RUaM9,Criel-sur-Mer (Seine-Maritime)
Wpd Invest,Energies des Hauts-Traits,Energies Des Hauts Traits,Hauts Traits,HAT,Eole Gouchaupre,Enedis,Ineo,https://goo.gl/maps/62gv77zSyvdxsbdi9,Gouchaupre (Seine-Maritime)
Wpd Invest,Energies des Longs Champs,Energies Des Longs Champs,Longs-Champs,LCH,Les Cavees,Enedis,Enercon,https://goo.gl/maps/BhsN2CkadYN4Kyyc9,Le Bourg-Dun (Seine-Maritime)
Wpd Invest,Energies du Petit Caux,Energies Du Petit Caux,Petit-Caux,PEC,Petit Caux,Enedis,Ineo,https://goo.gl/maps/HbE7SKsLgrWf4mKd8,Petit Caux (Seine-Maritime)
Wpd Invest,Eoliennes de Fréligné,Eoliennes De Freligne,Fréligné ,FRG,Eol Freligne,Enedis,Ineo,https://goo.gl/maps/hHUWEg9Qq2DPYW6S6,Touvois (Loire-Atlantique)
Wpd Invest,Usson Energies,Usson Energies,Usson,USO,P0046,Srd,Ineo,https://goo.gl/maps/M17dfe1orsAhq9mn9,
