Three-letter-code,SPV,Project,WF name in Rotorsoft,WTG serial number,Num WTG,COD,WTG type,WTG version,Manufacturer,Hub height [m],Rotor diameter [m],Tip Height (m),Rated Power [MW]
ENQ,ENERGIE QUINCY,Quincy,Énergie Quincy (FRA),225153.0,WTG 06,2019-01-31 00:00:00,V100,,Vestas,100.0,100,150.0,2.2
ENQ,ENERGIE QUINCY,Quincy,Énergie Quincy (FRA),225152.0,WTG 05,2019-01-31 00:00:00,V100,,Vestas,100.0,100,150.0,2.2
ENT,Energie Tiper Eolien,TIPER Éolien,Énergie Tiper Éolien (FRA),219087.0,WTG 03,2018-01-22 00:00:00,V100,,Vestas,100.0,100,150.0,2.2
ENT,Energie Tiper Eolien,TIPER Éolien,Énergie Tiper Éolien (FRA),219086.0,WTG 02,2018-01-22 00:00:00,V100,,Vestas,100.0,100,150.0,2.2
ENT,Energie Tiper Eolien,TIPER Éolien,Énergie Tiper Éolien (FRA),219085.0,WTG 01,2018-01-22 00:00:00,V100,,Vestas,100.0,100,150.0,2.2
EOB,ENERGIE DE L'OBI,Parc M (Obi),Énergie de l'Obi (FRA),826382.0,WTG 13,2016-04-04 00:00:00,E82,,Enercon,108.0,82,149.0,2.0
EOB,ENERGIE DE L'OBI,Parc M (Obi),Énergie de l'Obi (FRA),826381.0,WTG 11,2016-04-04 00:00:00,E82,,Enercon,108.0,82,149.0,2.0
EOB,ENERGIE DE L'OBI,Parc M (Obi),Énergie de l'Obi (FRA),826380.0,WTG 09,2016-04-04 00:00:00,E82,,Enercon,108.0,82,149.0,2.0
EOB,ENERGIE DE L'OBI,Parc M (Obi),Énergie de l'Obi (FRA),826377.0,WTG 24,2016-04-04 00:00:00,E82,,Enercon,108.0,82,149.0,2.0
EOB,ENERGIE DE L'OBI,Parc M (Obi),Énergie de l'Obi (FRA),826376.0,WTG 18,2015-12-29 00:00:00,E82,,Enercon,108.0,82,149.0,2.0
EOB,ENERGIE DE L'OBI,Parc M (Obi),Énergie de l'Obi (FRA),826375.0,WTG 04,2015-12-29 00:00:00,E82,,Enercon,108.0,82,149.0,2.0
EOB,ENERGIE DE L'OBI,Parc M (Obi),Énergie de l'Obi (FRA),826374.0,WTG 02,2015-12-29 00:00:00,E82,,Enercon,108.0,82,149.0,2.0
EOB,ENERGIE DE L'OBI,Parc M (Obi),Énergie de l'Obi (FRA),826373.0,WTG 15,2015-12-29 00:00:00,E82,,Enercon,108.0,82,149.0,2.0
EPC,ENERGIE 21 POITOU-CHARENTES,MLHCP,wpd II Poitou Charentes (FRA),1011010.0,WTG 07,2015-12-01 00:00:00,E101,,Enercon,100.0,101,150.5,3.05
EPC,ENERGIE 21 POITOU-CHARENTES,MLHCP,wpd II Poitou Charentes (FRA),1011009.0,WTG 06,2015-12-01 00:00:00,E101,,Enercon,100.0,101,150.5,3.05
EPC,ENERGIE 21 POITOU-CHARENTES,MLHCP,wpd II Poitou Charentes (FRA),1011008.0,WTG 05,2015-12-01 00:00:00,E101,,Enercon,100.0,101,150.5,3.05
EPC,ENERGIE 21 POITOU-CHARENTES,MLHCP,wpd II Poitou Charentes (FRA),1011007.0,WTG 04,2015-12-01 00:00:00,E101,,Enercon,100.0,101,150.5,3.05
EPC,ENERGIE 21 POITOU-CHARENTES,MLHCP,wpd II Poitou Charentes (FRA),1011006.0,WTG 03,2015-12-01 00:00:00,E101,,Enercon,100.0,101,150.5,3.05
EPC,ENERGIE 21 POITOU-CHARENTES,MLHCP,wpd II Poitou Charentes (FRA),1011005.0,WTG 02,2015-12-01 00:00:00,E101,,Enercon,100.0,101,150.5,3.05
EPC,ENERGIE 21 POITOU-CHARENTES,MLHCP,wpd II Poitou Charentes (FRA),1011004.0,WTG 01,2015-12-01 00:00:00,E101,,Enercon,100.0,101,150.5,3.05
EPO,Energie des Poiriers SAS,Les Marnières,Énergie des Poiriers (FRA),248815.0,,,V110,,Vestas,80.0,110,135.0,2.2
EPO,Energie des Poiriers SAS,Les Marnières,Énergie des Poiriers (FRA),248816.0,,,V110,,Vestas,80.0,110,135.0,2.2
EPO,Energie des Poiriers SAS,Les Marnières,Énergie des Poiriers (FRA),248817.0,,,V110,,Vestas,80.0,110,135.0,2.2
ESA,Energie Saulzoir SAS,Saulzoir,Énergie Saulzoir (FRA),247470.0,,,V136,,Vestas,112.0,136,180.0,3.0
ESA,Energie Saulzoir SAS,Saulzoir,Énergie Saulzoir (FRA),247471.0,,,V136,,Vestas,112.0,136,180.0,3.0
ESA,Energie Saulzoir SAS,Saulzoir,Énergie Saulzoir (FRA),247472.0,,,V136,,Vestas,112.0,136,180.0,3.0
ESA,Energie Saulzoir SAS,Saulzoir,Énergie Saulzoir (FRA),247473.0,,,V136,,Vestas,112.0,136,180.0,3.0
ESA,Energie Saulzoir SAS,Saulzoir,Énergie Saulzoir (FRA),247474.0,,,V136,,Vestas,112.0,136,180.0,3.0
ETI,ENERGIE TIGNE,Tigné,Énergie Tigné (FRA),826828.0,WTG 04,2017-12-14 00:00:00,E82,,Enercon,78.0,82,119.0,2.0
ETI,ENERGIE TIGNE,Tigné,Énergie Tigné (FRA),826827.0,WTG 03,2017-12-14 00:00:00,E82,,Enercon,78.0,82,119.0,2.0
ETI,ENERGIE TIGNE,Tigné,Énergie Tigné (FRA),826826.0,WTG 02,2017-12-14 00:00:00,E82,,Enercon,78.0,82,119.0,2.0
ETI,ENERGIE TIGNE,Tigné,Énergie Tigné (FRA),826825.0,WTG 01,2017-12-14 00:00:00,E82,,Enercon,78.0,82,119.0,2.0
EVE,ENERGIE VENDEE,Auzay,Énergie Vendée (FRA),1380443.0,WTG 1,2021-07-26 00:00:00,E138,,Enercon,110.0,138,179.0,3.96
EVE,ENERGIE VENDEE,Auzay,Énergie Vendée (FRA),1380444.0,WTG 2,2021-07-26 00:00:00,E138,,Enercon,110.0,138,179.0,3.96
EVE,ENERGIE VENDEE,Auzay,Énergie Vendée (FRA),1380445.0,WTG 3,2021-06-23 00:00:00,E138,,Enercon,110.0,138,179.0,3.96
EVE,ENERGIE VENDEE,Auzay,Énergie Vendée (FRA),1380446.0,WTG 4,2021-07-26 00:00:00,E138,,Enercon,110.0,138,179.0,3.96
EVE,ENERGIE VENDEE,Auzay,Énergie Vendée (FRA),1380447.0,WTG 5,2021-07-26 00:00:00,E138,,Enercon,110.0,138,179.0,3.96
EVE,ENERGIE VENDEE,Auzay,Énergie Vendée (FRA),1380448.0,WTG 6,2021-06-23 00:00:00,E138,,Enercon,110.0,138,179.0,3.96
